,instance,hate_count,url_count,mentions_count,hashtag_count,hate_avg,url_avg,mentions_avg,hashtag_avg,users,posts,nsfw,media_removal,fed_time_rem,reject,quaran_inst,accept,avatar,banner,followers_only,report,reject_deletes,hate_perc,url_perc,mentions_perc,hash_perc,followers_count,following_count,reblogs_count,replies_count,active_halfyear,active_month,hash_ftr,hash_rej,hash_sen,blocked,users_tr,posts_tr,hate_tr,url_tr
0,1210mw.com,125436.0,32128.0,46716.0,28156.0,1.4108516668916182,0.3613623071039727,0.5254479399822286,0.3166904743158581,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24181176047149866,0.15500292437126018,0.17980946596481756,0.09771899041706034,10833,380,3,0,0.0,0.0,0.0,0.0,1.0,0,1.2009369551760027,1.0,7.075172497848689,5.63828834117657
1,434.earth,973.0,474.0,556.0,239.0,1.6056105610561056,0.7821782178217822,0.91900826446281,0.3950413223140496,47.0,3192.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2648514851485149,0.19471947194719472,0.2871287128712871,0.11468646864686467,2697,1086,2,6,0.0,0.0,0.0,0.0,0.0,1,1.8996910486020337,3.8371650527320855,3.147884627313519,2.7923063049217887
2,7td.org,3175.0,242.0,2447.0,220.0,1.0565723793677204,0.0805324459234609,0.8145805592543276,0.07323568575233022,14.0,157.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15257903494176372,0.02396006655574043,0.2603993344425957,0.022129783693843597,383967,4285,2,22,0.0,0.0,0.0,0.0,1.0,1,1.5524632891554087,2.3226473499241314,3.8337514649073654,2.4963332478596985
3,80percent.social,10561.0,882.0,10190.0,801.0,1.7350090356497454,0.1448989650073928,1.6743345382845876,0.1316135392704568,18.0,562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2640052571053064,0.0627566945950386,0.3103334976178741,0.032446196812879906,21511,3841,13,6,0.0,0.0,0.0,0.0,0.0,1,1.6188704068605666,2.8726941231428436,4.684006694481919,3.0967876821510023
4,a.nom.pl,2137.0,143.0,1345.0,163.0,1.5188343994314144,0.10163468372423597,0.9566145092460882,0.11593172119487907,21.0,1935.0,4.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2501776830135039,0.04477611940298507,0.30810234541577824,0.03375977256574272,19702,12005,3,11,0.0,0.0,0.0,0.0,1.0,0,1.661000956165023,3.530044348723258,3.588950102675058,2.286770983670202
5,a.nti.social,43404.0,4993.0,14021.0,6728.0,1.9974229176254024,0.22977450529222276,0.6452666942795343,0.3096322886465093,93.0,1953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2757248044178555,0.09776806258628623,0.22109986194201564,0.06479521398987574,429349,13067,18,77,0.0,0.0,0.0,0.0,1.0,1,2.1285335083299706,3.535496192565372,5.928183329966838,4.134220102046949
6,agora.echelon.pl,3436.0,556.0,1893.0,859.0,1.45040101308569,0.2346981848881385,0.7994087837837838,0.3627533783783784,2.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2154917686787674,0.10531869987336427,0.2857745884339384,0.07830308146897423,470291,27685,6,3,0.0,0.0,0.0,0.0,1.0,0,1.122462048309373,2.2564670105409226,3.8845632082269055,2.8675596800452974
7,akane.ml,46.0,290.0,113.0,240.0,0.03148528405201916,0.19849418206707733,0.0773972602739726,0.1643835616438356,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00787132101300479,0.08008213552361396,0.03867214236824093,0.04551676933607118,13143,935,8,7,0.0,0.0,0.0,0.0,0.0,0,1.0,1.8859727740585395,1.892894046431534,2.5727623186035333
8,akko.kalasarn.se,111770.0,13844.0,55033.0,23446.0,1.5329858729941024,0.18987793169661227,0.7548176493985653,0.3215789545872252,1.0,1253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2572760938142916,0.08577012755451928,0.26122616924976,0.07656014264161294,455941,11347,10,79,0.0,0.0,0.0,0.0,1.0,0,1.0,3.2834104683858993,6.940448593273574,4.90016004809262
9,akuochi.art,4676.0,2648.0,9283.0,3086.0,0.8451111512741731,0.4785830471715163,1.6780549530007232,0.5578452639190167,2.0,6.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17178745707572746,0.08928248689680103,0.3165552141695283,0.08060726549792156,4827,2659,2,38,0.0,0.0,0.0,0.0,0.0,0,1.122462048309373,1.3480061545972777,4.089269660924749,3.7195151341563926
